EMA_short,EMA_long,Total_Trades,Profit_Trades,Loss_Trades,Net_Profit
57,96,34,12,22,419390.1377
35,95,44,14,30,415665.0373
71,78,36,12,24,415339.8439
72,77,36,12,24,413949.8059
73,76,36,12,24,413949.8059
74,75,36,12,24,413949.8059
36,99,42,13,29,412469.7719
36,98,42,13,29,412069.7719
6,7,414,130,284,411668.0663
33,98,44,14,30,410834.8597
69,81,36,12,24,408179.8831
68,82,34,12,22,406960.0597
55,100,34,12,22,403890.3327
54,100,34,12,22,403810.3511
56,97,34,12,22,402920.1181
66,84,34,12,22,401340.0401
67,83,34,12,22,401340.0401
63,88,34,12,22,401320.1181
34,96,44,14,30,395624.8985
35,98,42,13,29,395119.6257
35,99,42,13,29,393829.7329
55,98,34,12,22,391980.0789
55,99,34,12,22,389870.3131
34,100,42,13,29,381834.7611
33,97,44,14,30,378834.8597
59,93,34,12,22,373000.2935
8,10,292,95,197,371360.6893
56,99,34,11,23,362780.1767
5,7,456,139,317,348202.4953
67,84,34,11,23,346010.4497
68,83,36,11,25,335100.2927
64,87,34,12,22,330100.2935
58,96,36,11,25,328879.9813
59,94,34,12,22,328510.2547
60,92,34,12,22,327950.4875
65,86,34,11,23,325750.2935
66,85,34,11,23,325750.2935
57,98,34,11,23,306520.2157
56,100,34,11,23,299840.1377
70,81,34,11,23,293670.2149
62,90,34,11,23,292680.3717
63,89,34,11,23,292680.3717
69,82,36,11,25,290840.1369
60,99,34,12,22,289510.0073
61,91,34,12,22,288070.4097
60,93,34,11,23,284030.1757
71,80,34,11,23,280580.1759
59,95,34,11,23,276810.2547
64,93,34,13,21,272640.1831
65,87,34,11,23,272300.2929
64,88,34,11,23,268610.4499
61,92,34,11,23,265970.4097
58,100,34,12,22,264679.7355
59,97,34,11,23,257760.0099
57,99,34,10,24,251450.1965
65,92,34,12,22,251240.2815
58,98,34,11,23,250340.0393
62,96,34,12,22,247290.0855
63,94,34,13,21,243960.0077
63,95,34,11,23,241240.0867
58,97,34,11,23,240760.2547
99,100,26,9,17,240330.3697
58,99,34,11,23,237489.9905
59,100,34,12,22,234279.8329
59,99,34,12,22,233729.7355
95,100,26,8,18,232290.2321
70,82,34,11,23,231250.2929
71,81,34,11,23,231250.2929
72,79,34,11,23,231250.2929
72,80,34,11,23,231250.2929
73,78,34,11,23,231250.2929
73,79,34,11,23,231250.2929
74,77,34,11,23,231250.2929
75,76,34,11,23,231250.2929
59,98,34,12,22,231239.8927
69,83,34,11,23,228860.2539
60,98,34,12,22,226619.9695
68,84,36,11,25,226030.1759
96,99,26,8,18,222410.2515
