Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,,
Date,,,,,,,
2010-01-04,101.8646011352539,102.97152592917274,101.26997026791403,101.54441743114207,1079040,101.8646011352539,101.8646011352539
2010-01-05,105.37750244140625,106.75886754652076,102.27628131641534,102.42264803202158,2112500,102.19916316441127,102.0023619707893
2010-01-06,110.60108947753906,111.60738416840705,103.43808929395011,105.93553628934625,5761450,102.9993466228044,102.339566971054
2010-01-07,109.29290008544922,112.71430469470876,108.86293611181996,111.14082248461081,3174260,103.5987326668658,102.61224670103027
2010-01-08,109.16484069824219,111.3329470876955,108.53361631676474,109.22887744857451,1220560,104.12883819366355,102.86921117150918
2010-01-11,112.87898254394531,116.1631708668271,109.41183407728248,110.32664875515187,5512030,104.96218527464278,103.2617512253302
2010-01-12,114.57137298583984,117.46218335212365,112.76918719464196,113.80293210930859,4366170,105.8773460090425,103.70526580417372
2010-01-13,118.89845275878906,119.81326734401698,96.05553144893102,112.56793750408744,4475290,107.11745141378026,104.3010770572959
2010-01-14,116.94989776611328,121.25868077177434,116.4101604900239,120.27982242727292,3020830,108.05387487590721,104.79710924195541
2010-01-15,118.75208282470703,119.29182009688313,116.24549273628946,117.64516495864848,2396195,109.07275182341196,105.34436310794568
2010-01-18,118.75208282470703,120.38960880099054,117.379860903536,117.379860903536,2031560,109.99459287115435,105.87015603801477
2010-01-19,115.68746185302734,119.62116073009719,115.26664794410259,119.29182689189834,769910,110.53677086942797,106.25514842291723
2010-01-20,114.1048355102539,118.01109103397224,113.54679800979672,116.25464856342599,843480,110.87658654950663,106.56297928908731
2010-01-21,114.05908966064453,117.99278842724081,112.15627353326342,113.71146260985601,1712055,111.1796820839007,106.85694440169739
2010-01-22,112.59539031982422,113.802945394976,107.58220289905346,111.80864915182572,2194355,111.31451143970294,107.08198149652588
2010-01-25,110.0247573852539,113.4370191782824,109.50331330208141,113.2540590359167,652660,111.1916777202316,107.19738447255443
2010-01-27,107.09735870361328,112.28435647700793,106.13680045839986,110.10709996186858,999240,110.80174257579176,107.19346189338027
2010-01-28,107.25286102294922,110.23515855299459,105.20367828709027,108.8903799833904,811325,110.46375385647342,107.19579127101044
2010-01-29,108.8995361328125,110.51875498281358,105.20368413101973,106.30145891276806,2203015,110.31478073993428,107.26260479500267
2010-02-01,112.33924102783203,112.9247218413877,107.96642116858303,108.86294259029867,642590,110.50758648163882,107.46168856883912
2010-02-02,114.38843536376953,115.63258396240064,112.55880589278054,113.80295449141165,1877745,110.87719113707985,107.73332569805208
2010-02-03,119.81666564941406,120.28510314267113,114.81091266042053,116.09679628371764,2264310,111.72856966206405,108.20718216673295
2010-02-04,118.79714965820312,120.82701285417107,116.74892680616642,118.53079449515987,1960870,112.40176775693443,108.6224750095357
2010-02-05,116.67545318603516,118.46650081127234,112.51470638932818,113.0749842633773,2513800,112.80878541684879,108.93827807528078
2010-02-08,119.238037109375,119.94526229352341,117.3826886976371,119.40335810878474,892700,113.4210951018513,109.34219019426487
2010-02-09,117.55720520019531,119.21967222769098,116.83159928344361,119.21967222769098,676620,113.81501034931263,109.66434764547783
2010-02-10,117.62149810791016,119.05433625709506,117.10714738922901,117.38269642138133,697880,114.17753299298857,109.97639276165165
