Date,Adj Close,Close,High,Low,Open,Volume,EMA20,EMA50
9/17/2007,4494.649902,4494.649902,4549.049805,4482.850098,4518.450195,0,4494.649902,4494.649902
9/18/2007,4546.200195,4546.200195,4551.799805,4481.549805,4494.100098,0,4499.559454,4496.671482
9/19/2007,4732.350098,4732.350098,4739,4550.25,4550.25,0,4521.729992,4505.913781
9/20/2007,4747.549805,4747.549805,4760.850098,4721.149902,4734.850098,0,4543.23664,4515.389704
9/21/2007,4837.549805,4837.549805,4855.700195,4733.700195,4752.950195,0,4571.266466,4528.023433
9/24/2007,4932.200195,4932.200195,4941.149902,4837.149902,4837.149902,0,4605.641107,4543.873502
9/25/2007,4938.850098,4938.850098,4953.899902,4878.149902,4939.100098,0,4637.375296,4559.36278
9/26/2007,4940.5,4940.5,4980.850098,4930.350098,4937.600098,0,4666.244316,4574.309338
9/27/2007,5000.549805,5000.549805,5016.399902,4942.700195,4942.700195,0,4698.082934,4591.02465
9/28/2007,5021.350098,5021.350098,5055.799805,4996.450195,4996.450195,0,4728.870283,4607.900158
10/1/2007,5068.950195,5068.950195,5089.299805,5001.350098,5021.5,0,4761.258846,4625.980552
10/3/2007,5210.799805,5210.799805,5261.350098,5034.149902,5069,0,4804.07227,4648.91464
10/4/2007,5208.649902,5208.649902,5233.100098,5126.049805,5211.649902,0,4842.603473,4670.865043
10/5/2007,5185.850098,5185.850098,5248.549805,5164.5,5208.149902,0,4875.293628,4691.060535
10/8/2007,5085.100098,5085.100098,5249.299805,5024.75,5186.25,0,4895.275197,4706.513067
10/9/2007,5327.25,5327.25,5348.700195,5000.950195,5062.649902,0,4936.415654,4730.855692
10/10/2007,5441.450195,5441.450195,5454.700195,5328.149902,5328.149902,0,4984.514182,4758.722143
10/11/2007,5524.850098,5524.850098,5532.75,5424.25,5438.899902,0,5035.974745,4788.766376
10/12/2007,5428.25,5428.25,5549.299805,5402.600098,5525.299805,0,5073.334293,4813.844165
10/15/2007,5670.399902,5670.399902,5682.649902,5419.899902,5428.350098,0,5130.197685,4847.434587
10/16/2007,5668.049805,5668.049805,5708.350098,5578.450195,5670.649902,0,5181.421696,4879.615575
10/17/2007,5559.299805,5559.299805,5658.899902,5107.299805,5658.899902,0,5217.410087,4906.269859
10/18/2007,5351,5351,5736.799805,5269.649902,5551.100098,0,5230.132936,4923.710257
10/19/2007,5215.299805,5215.299805,5390.850098,5101.75,5360.350098,0,5228.720257,4935.145141
10/22/2007,5184,5184,5247.399902,5070.899902,5202.75,0,5224.461185,4944.904155
10/23/2007,5473.700195,5473.700195,5488.5,5176.850098,5185.299805,0,5248.198234,4965.641255
10/24/2007,5496.149902,5496.149902,5577.899902,5419.399902,5477.600098,0,5271.812678,4986.445515
10/25/2007,5568.950195,5568.950195,5605.950195,5469.299805,5499.049805,0,5300.111489,5009.288836
10/26/2007,5702.299805,5702.299805,5716.899902,5513.350098,5564.25,0,5338.415138,5036.465737
10/29/2007,5905.899902,5905.899902,5922.5,5708.899902,5708.899902,0,5392.461306,5070.561194
10/30/2007,5868.75,5868.75,5976,5833.899902,5917.549805,0,5437.822134,5101.862716
10/31/2007,5900.649902,5900.649902,5952.25,5861.299805,5868.899902,0,5481.900969,5133.187704
11/1/2007,5866.450195,5866.450195,6011.950195,5837.200195,5903.799805,0,5518.524705,5161.943096
11/2/2007,5932.399902,5932.399902,5944.75,5714.25,5854.850098,0,5557.941391,5192.157088
11/5/2007,5847.299805,5847.299805,5948.549805,5819.600098,5931.899902,0,5585.499335,5217.848959
11/6/2007,5786.5,5786.5,5957.200195,5759.950195,5847.100098,0,5604.642255,5240.149
11/7/2007,5782.350098,5782.350098,5861.350098,5744.299805,5782.399902,0,5621.566812,5261.411788
11/8/2007,5698.75,5698.75,5780.799805,5646.75,5779.299805,0,5628.917592,5278.562306
11/12/2007,5617.100098,5617.100098,5660.600098,5477.5,5660.600098,0,5627.792116,5291.838298
11/13/2007,5695.399902,5695.399902,5758.850098,5591.600098,5612.350098,0,5634.230953,5307.664243
11/14/2007,5937.899902,5937.899902,5950.200195,5700.049805,5703.950195,0,5663.151805,5332.379367
11/15/2007,5912.100098,5912.100098,5966.950195,5895.649902,5942.700195,0,5686.861166,5355.113514
11/16/2007,5906.850098,5906.850098,5948.049805,5817.399902,5913.149902,0,5707.812493,5376.750242
11/19/2007,5907.649902,5907.649902,5981.799805,5893.799805,5908.049805,0,5726.844627,5397.569837
11/20/2007,5780.899902,5780.899902,5923.700195,5755.799805,5911.25,0,5731.992749,5412.602388
11/21/2007,5561.049805,5561.049805,5790.049805,5530.850098,5778.799805,0,5715.712468,5418.423856
11/22/2007,5519.350098,5519.350098,5608.649902,5394.350098,5564.649902,0,5697.01129,5422.381748
